ATP Sydney	12/01/2015	1er tour	Nicolás Almagro	73	Pablo Cuevas	40	6	4	x	x	x	x	7	6	x	x	x	x
ATP Sydney	12/01/2015	1er tour	Julien Benneteau	10000	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ATP Sydney	13/01/2015	1er tour	Andreas Seppi	29	Vasek Pospisil	39	3	6	x	x	x	x	6	7	x	x	x	x
ATP Sydney	13/01/2015	1er tour	Nick Kyrgios	30	Jerzy Janowicz	57	1	7	6	x	x	x	6	6	7	x	x	x
ATP Sydney	12/01/2015	1er tour	Benjamin Becker	97	Leonardo Mayer	35	6	2	x	x	x	x	7	6	x	x	x	x
ATP Sydney	13/01/2015	1er tour	Jérémy Chardy	31	Sam Querrey	59	6	6	x	x	x	x	4	4	x	x	x	x
ATP Sydney	13/01/2015	1er tour	Sam Groth	60	Gilles Muller	38	6	3	6	x	x	x	3	6	7	x	x	x
ATP Sydney	13/01/2015	1er tour	Bernard Tomic	18	Igor Sijsling	145	6	6	x	x	x	x	1	2	x	x	x	x
ATP Sydney	12/01/2015	1er tour	Philipp Kohlschreiber	34	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ATP Sydney	13/01/2015	1er tour	Martin Kližan	43	Viktor Troicki	22	2	3	x	x	x	x	6	6	x	x	x	x
ATP Sydney	13/01/2015	1er tour	Pablo Andújar	64	Jarkko Nieminen	153	6	6	x	x	x	x	2	2	x	x	x	x
ATP Sydney	12/01/2015	1er tour	Marinko Matosevic	296	Simone Bolelli	58	3	2	x	x	x	x	6	6	x	x	x	x
ATP Sydney	12/01/2015	1er tour	David Goffin	16	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ATP Sydney	14/01/2015	2e tour	Fabio Fognini	21	Juan Martín del Potro	10000	6	2	2	x	x	x	4	6	6	x	x	x
ATP Sydney	14/01/2015	2e tour	Mikhail Kukushkin	65	Pablo Cuevas	40	7	7	x	x	x	x	5	5	x	x	x	x
ATP Sydney	14/01/2015	2e tour	Julien Benneteau	10000	Vasek Pospisil	39	7	6	x	x	x	x	6	3	x	x	x	x
ATP Sydney	14/01/2015	2e tour	Jerzy Janowicz	57	Leonardo Mayer	35	6	1	6	x	x	x	4	6	7	x	x	x
ATP Sydney	14/01/2015	2e tour	Jérémy Chardy	31	Gilles Muller	38	6	6	4	x	x	x	2	7	6	x	x	x
ATP Sydney	14/01/2015	2e tour	Bernard Tomic	18	Philipp Kohlschreiber	34	6	6	x	x	x	x	3	4	x	x	x	x
ATP Sydney	14/01/2015	2e tour	Viktor Troicki	22	Pablo Andújar	64	4	6	6	x	x	x	6	3	3	x	x	x
ATP Sydney	14/01/2015	2e tour	Simone Bolelli	58	David Goffin	16	6	6	x	x	x	x	3	3	x	x	x	x
ATP Sydney	15/01/2015	Quart de finale	Juan Martín del Potro	10000	Mikhail Kukushkin	65	6	6	x	x	x	x	7	7	x	x	x	x
ATP Sydney	15/01/2015	Quart de finale	Julien Benneteau	10000	Leonardo Mayer	35	3	6	x	x	x	x	6	7	x	x	x	x
ATP Sydney	15/01/2015	Quart de finale	Gilles Muller	38	Bernard Tomic	18	7	7	x	x	x	x	6	6	x	x	x	x
ATP Sydney	15/01/2015	Quart de finale	Viktor Troicki	22	Simone Bolelli	58	6	3	7	x	x	x	3	6	5	x	x	x
ATP Sydney	16/01/2015	Demi-finale	Mikhail Kukushkin	65	Leonardo Mayer	35	6	6	x	x	x	x	4	4	x	x	x	x
ATP Sydney	16/01/2015	Demi-finale	Gilles Muller	38	Viktor Troicki	22	2	4	x	x	x	x	6	6	x	x	x	x
ATP Sydney	17/01/2015	Finale	Mikhail Kukushkin	65	Viktor Troicki	22	2	3	x	x	x	x	6	6	x	x	x	x
ATP Auckland	11/01/2015	1er tour	Lucas Pouille	78	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ATP Auckland	13/01/2015	1er tour	Michael Venus	10000	Alejandro González	141	5	6	7	x	x	x	7	3	6	x	x	x
ATP Auckland	13/01/2015	1er tour	Paolo Lorenzi	68	Albert Ramos	54	4	3	x	x	x	x	6	6	x	x	x	x
ATP Auckland	13/01/2015	1er tour	Juan Mónaco	53	Yen-Hsun Lu	77	4	6	1	x	x	x	6	2	6	x	x	x
ATP Auckland	11/01/2015	1er tour	Roberto Bautista	25	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ATP Auckland	12/01/2015	1er tour	Adrian Mannarino	47	Federico Delbonis	52	6	6	x	x	x	x	1	1	x	x	x	x
ATP Auckland	13/01/2015	1er tour	Alejandro Falla	122	Jose Statham	10000	6	6	x	x	x	x	4	4	x	x	x	x
ATP Auckland	13/01/2015	1er tour	Kenny De Schepper	148	Santiago Giraldo	70	6	6	x	x	x	x	2	3	x	x	x	x
ATP Auckland	12/01/2015	1er tour	Steve Johnson	32	João Sousa	33	7	6	x	x	x	x	5	4	x	x	x	x
ATP Auckland	13/01/2015	1er tour	Borna Coric	44	Pablo Carreño	67	4	3	x	x	x	x	6	6	x	x	x	x
ATP Auckland	12/01/2015	1er tour	Dominic Thiem	20	Jan-Lennard Struff	107	7	4	3	x	x	x	6	6	6	x	x	x
ATP Auckland	11/01/2015	1er tour	Kevin Anderson	12	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ATP Auckland	13/01/2015	1er tour	Guillermo García-López	27	Diego Schwartzman	88	2	6	1	x	x	x	6	4	6	x	x	x
ATP Auckland	13/01/2015	1er tour	Donald Young	48	Go Soeda	132	6	6	6	x	x	x	7	1	3	x	x	x
ATP Auckland	13/01/2015	1er tour	Jirí Veselý	41	Thomaz Bellucci	37	6	7	x	x	x	x	3	6	x	x	x	x
ATP Auckland	11/01/2015	1er tour	Ernests Gulbis	81	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ATP Auckland	13/01/2015	2e tour	Lucas Pouille	78	Michael Venus	10000	7	6	x	x	x	x	5	4	x	x	x	x
ATP Auckland	13/01/2015	2e tour	Albert Ramos	54	Yen-Hsun Lu	77	6	6	x	x	x	x	2	4	x	x	x	x
ATP Auckland	13/01/2015	2e tour	Roberto Bautista	25	Adrian Mannarino	47	2	1	x	x	x	A	6	2	x	x	x	x
ATP Auckland	13/01/2015	2e tour	Alejandro Falla	122	Kenny De Schepper	148	6	6	x	x	x	x	2	4	x	x	x	x
ATP Auckland	13/01/2015	2e tour	Steve Johnson	32	Pablo Carreño	67	6	6	6	x	x	x	7	4	1	x	x	x
ATP Auckland	13/01/2015	2e tour	Jan-Lennard Struff	107	Kevin Anderson	12	6	1	x	x	x	x	7	6	x	x	x	x
